transfer_fee,from_club_id,to_club_id,player_id,transfer_date,age
52140000.0,336,631,1138758,1782864000000000000,32.0
2000000.0,294,114,149729,1751328000000000000,21.0
4700000.0,150,336,234811,1751328000000000000,23.0
1000000.0,3948,3057,249303,1751328000000000000,27.0
25000000.0,826,148,263236,1751328000000000000,25.0
1600000.0,209,367,275218,1751328000000000000,22.0
5000000.0,167,114,278343,1751328000000000000,30.0
2000000.0,39,3911,283994,1751328000000000000,30.0
2700000.0,720,1075,284883,1751328000000000000,24.0
12000000.0,430,36,287579,1751328000000000000,23.0
14300000.0,2919,506,301238,1751328000000000000,25.0
8000000.0,162,141,375137,1751328000000000000,27.0
1000000.0,3385,1091,407491,1751328000000000000,20.0
3500000.0,506,607,430280,1751328000000000000,31.0
17200000.0,762,506,480116,1751328000000000000,25.0
12000000.0,3911,273,485960,1751328000000000000,23.0
28100000.0,430,506,486031,1751328000000000000,25.0
5000000.0,409,1047,490423,1751328000000000000,22.0
20000000.0,964,537,499721,1751328000000000000,18.0
1750000.0,58,475,502247,1751328000000000000,30.0
3430000.0,7775,398,530742,1751328000000000000,31.0
5000000.0,162,167,569383,1751328000000000000,28.0
18000000.0,18,12,624690,1751328000000000000,24.0
25000000.0,281,16,627228,1751328000000000000,23.0
22270000.0,336,631,670717,1751328000000000000,23.0
15000000.0,3948,82,746910,1751328000000000000,25.0
16000000.0,2727,23826,865682,1751328000000000000,22.0
11000000.0,447,148,892160,1751328000000000000,24.0
500000.0,5619,306,894050,1751328000000000000,23.0
20000000.0,13,23826,926694,1751328000000000000,22.0
7000000.0,180,667,933900,1751328000000000000,21.0
7000000.0,10484,405,1043003,1751328000000000000,21.0
134000.0,3166,1063,1052867,1751328000000000000,22.0
500000.0,338,18303,404846,1741651200000000000,22.0
70000.0,16653,85465,1093843,1741651200000000000,22.0
14000000.0,330,660,1083070,1741564800000000000,23.0
500000.0,289,63007,743627,1741478400000000000,24.0
3700000.0,209,2410,657220,1741219200000000000,23.0
50000.0,4507,48332,642947,1740700800000000000,22.0
50000.0,9554,48726,1111025,1740268800000000000,25.0
1300000.0,2410,964,171072,1740009600000000000,21.0
8000000.0,1083,121,570423,1740009600000000000,21.0
100000.0,8956,1124,541006,1739923200000000000,21.0
3400000.0,333,121,756494,1739923200000000000,28.0
260000.0,3714,14589,501777,1739836800000000000,25.0
200000.0,11127,3725,334481,1739750400000000000,21.0
4200000.0,8793,2410,371996,1739750400000000000,24.0
200000.0,13365,75231,863190,1739404800000000000,21.0
750000.0,265,11282,179860,1739232000000000000,21.0
650000.0,3837,2293,230361,1739232000000000000,23.0
1000000.0,3840,2832,265542,1739232000000000000,22.0
2000000.0,449,6890,422203,1739232000000000000,20.0
1500000.0,683,6890,432752,1739232000000000000,21.0
3500000.0,449,141,616894,1739232000000000000,19.0
1000000.0,1147,449,674241,1739232000000000000,22.0
10000000.0,209,232,756991,1739232000000000000,23.0
1940000.0,17425,114,1007972,1739232000000000000,22.0
5670000.0,19309,114,1074584,1739059200000000000,22.0
17000000.0,2462,660,1119009,1738972800000000000,22.0
130000.0,458,71985,274694,1738886400000000000,19.0
18700000.0,2441,232,354587,1738886400000000000,21.0
403000.0,2832,449,390379,1738886400000000000,26.0
214000.0,44286,126,966488,1738886400000000000,23.0
10000.0,60834,2293,1035767,1738886400000000000,24.0
950000.0,6878,660,1098098,1738886400000000000,24.0
2500000.0,543,141,170934,1738713600000000000,26.0
8000000.0,1184,141,474589,1738713600000000000,22.0
3000000.0,366,610,468309,1738627200000000000,22.0
2000000.0,200,317,513963,1738627200000000000,22.0
350000.0,801,1435,577816,1738627200000000000,22.0
450000.0,738,234,667965,1738627200000000000,18.0
2500000.0,110458,234,955224,1738627200000000000,21.0
6500000.0,1075,294,139396,1738540800000000000,19.0
3000000.0,141,24,179184,1738540800000000000,22.0
150000.0,127,475,207623,1738540800000000000,20.0
2400000.0,984,677,245625,1738540800000000000,19.0
6000000.0,660,449,289075,1738540800000000000,18.0
2500000.0,416,1047,336125,1738540800000000000,23.0
