timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-25T19:01:42,codecarbon,59d9133b-6d07-4dee-b705-97aecbe1364b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,592.7613211249991,,,0.3642999999999999,0.0182727272727272,3.0,0.0013601389702872,,0.0002574855107351,,Brazil,BRA,rio de janeiro,,,macOS-15.1.1-arm64-arm-64bit,3.12.8,3.0.2,8,Apple M1,1,Apple M1,-43.1054,-22.8896,8.0,machine,N,1.0
2025-06-29T20:25:25,codecarbon,6a0f270b-8196-40f7-9bfc-721e3596985d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,20.331469416996697,6.937891464362697e-06,3.412390576434559e-07,3.013333333333333,0.0798,3.0,5.6861949421925216e-05,1.8146720244228925e-07,1.350088996410098e-05,7.054430658846846e-05,Brazil,BRA,rio de janeiro,,,macOS-15.1.1-arm64-arm-64bit,3.12.8,3.0.2,8,Apple M1,1,Apple M1,-43.1054,-22.8896,8.0,machine,N,1.0
2025-06-29T20:28:48,codecarbon,36567f20-9deb-401c-8433-d2d288439c5d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,20.223295083997073,7.368082244482674e-06,3.6433638602806735e-07,11.591,0.045100000000000015,3.0,6.091650463187059e-05,6.297873837227323e-08,1.3938992292532928e-05,7.49184756627758e-05,Brazil,BRA,rio de janeiro,,,macOS-15.1.1-arm64-arm-64bit,3.12.8,3.0.2,8,Apple M1,1,Apple M1,-43.1054,-22.8896,8.0,machine,N,1.0
